step,roll,pitch,yaw,position_n,position_e,position_d,velocity_u,Va,gear_deploy,throttle,elevator
182,-0.305019,-0.00193925,-0.00993185,8.9344,-0.0960815,0.0123658,11.014,11.0798,1,0.999894,-0.00298439
183,-0.306571,-0.0020281,-0.0102986,9.04547,-0.0990921,0.01233,11.0782,11.1439,1,0.999899,-0.00240951
184,-0.308107,-0.00211951,-0.0106742,9.15719,-0.102172,0.0122943,11.1423,11.2079,1,0.999904,-0.00300705
185,-0.309628,-0.00221387,-0.0110591,9.26954,-0.105323,0.0122591,11.2062,11.2718,1,0.999909,-0.00255418
186,-0.311133,-0.00231083,-0.011453,9.38254,-0.108546,0.0122241,11.27,11.3355,1,0.999913,-0.00317545
187,-0.312624,-0.00241076,-0.0118562,9.49616,-0.111841,0.0121894,11.3337,11.3991,1,0.999917,-0.00256271
188,-0.314099,-0.00251334,-0.0122685,9.61042,-0.115211,0.012155,11.3973,11.4625,1,0.999921,-0.00314908
189,-0.315559,-0.00261898,-0.0126902,9.72531,-0.118655,0.012121,11.4607,11.5259,1,0.999925,-0.00277901
190,-0.317005,-0.0027273,-0.013121,9.84083,-0.122174,0.0120872,11.524,11.5891,1,0.999929,-0.0033183
191,-0.318436,-0.00283864,-0.0135613,9.95698,-0.125771,0.0120538,11.5872,11.6522,1,0.999932,-0.00281278
192,-0.319853,-0.00295272,-0.0140107,10.0738,-0.129446,0.0120207,11.6503,11.7151,1,0.999936,-0.00344537
193,-0.321256,-0.0030699,-0.0144697,10.1912,-0.1332,0.011988,11.7132,11.7779,1,0.999939,-0.00289405
194,-0.322644,-0.00318979,-0.0149377,10.3092,-0.137034,0.0119556,11.776,11.8406,1,0.999942,-0.00351061
195,-0.32402,-0.0033128,-0.0154152,10.4279,-0.14095,0.0119237,11.8387,11.9032,1,0.999945,-0.00305077
196,-0.325381,-0.00343854,-0.0159019,10.5471,-0.144948,0.011892,11.9012,11.9656,1,0.999947,-0.00370562
197,-0.326729,-0.00356738,-0.0163981,10.667,-0.149029,0.0118608,11.9636,12.0279,1,0.99995,-0.0030879
198,-0.328064,-0.00369893,-0.0169032,10.7875,-0.153195,0.0118299,12.0259,12.0901,1,0.999952,-0.00368231
199,-0.329387,-0.00383364,-0.0174178,10.9087,-0.157447,0.0117994,12.0881,12.1522,1,0.999955,-0.00335885
200,-0.330696,-0.00397104,-0.0179415,11.0304,-0.161785,0.0117693,12.1501,12.2141,1,0.999957,-0.00387611
201,-0.331993,-0.00411149,-0.0184744,11.1528,-0.166212,0.0117397,12.212,12.2759,1,0.999959,-0.0034274
202,-0.333277,-0.00425466,-0.0190162,11.2758,-0.170728,0.0117104,12.2738,12.3375,1,0.999961,-0.00409082
203,-0.33455,-0.00440089,-0.0195672,11.3994,-0.175334,0.0116816,12.3354,12.399,1,0.999963,-0.00347729
